Date,Status,Total Stake,Total Return
2023-11-25,Lost,200.0,0.0
2023-11-25,Lost,100.0,0.0
2023-11-21,Lost,100.0,0.0
2023-11-20,Lost,100.0,0.0
2023-11-20,Lost,100.0,0.0
2023-11-20,Lost,100.0,0.0
2023-11-20,Lost,100.0,0.0
2023-11-18,Lost,50.0,0.0
2023-11-18,Lost,50.0,0.0
2023-11-17,Lost,50.0,0.0
2023-11-17,Lost,50.0,0.0
2023-11-17,Lost,100.0,0.0
2023-11-17,Lost,100.0,0.0
2023-11-16,Lost,500.0,0.0
2023-11-15,Lost,500.0,0.0
2023-11-15,Lost,500.0,0.0
2023-11-15,Lost,500.0,0.0
2023-11-14,Lost,1000.0,0.0
2023-11-13,Lost,400.0,0.0
2023-11-13,Lost,553.22,0.0
2023-11-12,Won,900.0,842.76
2023-11-12,Won,2000.0,1058.43
2023-11-12,Won,2000.0,742.94
2023-11-11,Won,200.0,209.09
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-11,Lost,500.0,0.0
2023-11-11,Lost,100.0,0.0
2023-11-08,Lost,100.0,0.0
2023-11-08,Lost,100.0,0.0
2023-11-07,Lost,500.0,0.0
2023-11-07,Lost,1000.0,0.0
2023-11-05,Lost,300.0,0.0
2023-11-04,Lost,100.0,0.0
2023-11-04,Lost,100.0,0.0
2023-11-04,Lost,50.0,0.0
2023-11-03,Lost,450.0,0.0
2023-11-02,Lost,100.0,0.0
2023-11-01,Lost,500.0,0.0
2023-11-01,Lost,100.0,0.0
2023-11-01,Lost,100.0,0.0
2023-11-01,Lost,100.0,0.0
2023-11-01,Lost,100.0,0.0
2023-10-31,Lost,500.0,0.0
2023-10-31,Lost,100.0,0.0
2023-10-31,Lost,100.0,0.0
2023-10-30,Lost,500.0,0.0
2023-10-30,Lost,245.57,0.0
2023-10-29,Won,1000.0,4745.57
2023-10-29,Lost,1000.0,0.0
2023-10-28,Lost,200.0,0.0
2023-10-28,Lost,100.0,0.0
2023-10-28,Lost,150.0,0.0
2023-10-28,Lost,50.0,0.0
2023-10-28,Lost,100.0,0.0
2023-10-28,Lost,100.0,0.0
2023-10-21,Lost,300.0,0.0
2023-10-21,Lost,1200.0,0.0
2023-10-16,Lost,600.0,0.0
2023-10-08,Lost,2000.0,0.0
2023-10-07,Lost,540.81,0.0
2023-10-07,Lost,100.0,0.0
2023-10-06,Lost,190.37,0.0
2023-10-06,Lost,100.0,0.0
2023-10-06,Lost,200.0,0.0
2023-10-06,Lost,100.0,0.0
2023-10-06,Lost,50.0,0.0
2023-10-06,Won,300.0,2040.81
2023-10-06,Lost,400.0,0.0
2023-10-06,Won,500.0,1290.37
2023-10-06,Lost,500.0,0.0
2023-10-04,Lost,200.0,0.0
2023-10-04,Lost,100.0,0.0
2023-10-04,Lost,300.0,0.0
2023-10-03,Lost,700.0,0.0
2023-10-01,Lost,300.0,0.0
2023-10-01,Lost,100.0,0.0
2023-10-01,Lost,100.0,0.0
2023-09-30,Lost,290.43,0.0
2023-09-30,Won,226.95,3141.5
2023-09-30,Won,269.17,148.93
2023-09-30,Won,100.0,226.95
2023-09-30,Lost,100.0,0.0
2023-09-30,Lost,100.0,0.0
2023-09-30,Won,30.34,269.17
2023-09-29,Won,250.0,330.34
2023-09-28,Lost,250.0,0.0
2023-09-28,Lost,500.0,0.0
2023-09-26,Lost,250.0,0.0
2023-09-25,Lost,10.74,0.0
2023-09-24,Lost,265.21,0.0
2023-09-24,Lost,100.0,0.0
2023-09-23,Won,100.0,265.21
2023-09-23,Won,100.0,410.74
2023-09-23,Lost,100.0,0.0
2023-09-23,Lost,100.0,0.0
2023-09-19,Lost,170.0,0.0
2023-09-19,Lost,300.0,0.0
2023-09-18,Lost,300.0,0.0
2023-09-08,Lost,523.0,0.0
2023-09-03,Lost,300.0,0.0
2023-09-02,Lost,50.0,0.0
2023-09-02,Lost,50.0,0.0
2023-09-02,Lost,100.0,0.0
2023-09-02,Lost,200.0,0.0
